starttime	seconds	ctime	dtime	ttime	wait
Fri Dec 15 14:47:26 2017	1513345646	47	263	311	221
Fri Dec 15 14:45:53 2017	1513345553	46	265	311	223
Fri Dec 15 14:46:53 2017	1513345613	46	265	311	222
Fri Dec 15 14:45:03 2017	1513345503	46	265	311	222
Fri Dec 15 14:45:24 2017	1513345524	46	265	311	221
Fri Dec 15 14:47:35 2017	1513345655	47	264	311	221
Fri Dec 15 14:49:04 2017	1513345744	45	266	311	222
Fri Dec 15 14:48:14 2017	1513345694	46	265	311	223
Fri Dec 15 14:48:22 2017	1513345702	48	263	311	221
Fri Dec 15 14:45:08 2017	1513345508	45	266	311	222
Fri Dec 15 14:48:09 2017	1513345689	49	262	311	220
Fri Dec 15 14:48:52 2017	1513345732	44	267	311	222
Fri Dec 15 14:45:38 2017	1513345538	47	265	311	221
Fri Dec 15 14:47:36 2017	1513345656	46	265	311	222
Fri Dec 15 14:47:34 2017	1513345654	45	266	311	222
Fri Dec 15 14:45:17 2017	1513345517	49	262	311	220
Fri Dec 15 14:47:40 2017	1513345660	46	265	311	222
Fri Dec 15 14:44:42 2017	1513345482	45	266	311	222
Fri Dec 15 14:49:42 2017	1513345782	46	265	311	222
Fri Dec 15 14:45:47 2017	1513345547	44	267	311	221
Fri Dec 15 14:48:47 2017	1513345727	45	266	311	222
Fri Dec 15 14:46:06 2017	1513345566	46	265	311	222
Fri Dec 15 14:47:12 2017	1513345632	47	264	311	221
Fri Dec 15 14:44:47 2017	1513345487	45	266	311	224
Fri Dec 15 14:46:04 2017	1513345564	48	263	311	221
Fri Dec 15 14:46:41 2017	1513345601	45	266	311	221
Fri Dec 15 14:49:08 2017	1513345748	45	266	311	222
Fri Dec 15 14:45:53 2017	1513345553	45	266	312	221
Fri Dec 15 14:45:48 2017	1513345548	46	266	312	222
Fri Dec 15 14:49:16 2017	1513345756	45	266	312	223
Fri Dec 15 14:45:58 2017	1513345558	45	266	312	223
Fri Dec 15 14:48:29 2017	1513345709	45	266	312	221
